,packet,time,type,raw,field1,distanceRaw,distanceCm,angleRaw,angleDegrees,time_seconds,distanceM,velocity
0,1,2026-09-15 08:33:13.977000+00:00,0xD2,00 01 00 D2 BC 97 00 12 2D 53,48279,11603,62.12,18,1.8,0.0,0.6212,0.0
1,2,2026-09-15 08:33:13.980000+00:00,0xD2,00 01 00 D2 BD 64 00 11 2D 53,48484,11603,62.12,17,1.7,0.003,0.6212,0.01111111111110219
2,3,2026-09-15 08:33:13.989000+00:00,0xD2,00 01 00 D2 BE 31 00 10 2D 54,48689,11604,62.16,16,1.6,0.012,0.6215999999999999,0.03444444444443029
3,4,2026-09-15 08:33:14.020000+00:00,0xD2,00 01 00 D2 BE FE 00 12 2D 54,48894,11604,62.16,18,1.8,0.043,0.6215999999999999,0.017971014492758286
4,5,2026-09-15 08:33:14.035000+00:00,0xD2,00 01 00 D2 BF CB 00 10 2D 55,49099,11605,62.2,16,1.6,0.058,0.622,0.013333333333331865
5,6,2026-09-15 08:33:14.050000+00:00,0xD2,00 01 00 D2 C0 98 00 12 2D 55,49304,11605,62.2,18,1.8,0.073,0.622,-5.329070518200751e-15
6,7,2026-09-15 08:33:14.080000+00:00,0xD2,00 01 00 D2 C1 65 00 13 2D 55,49509,11605,62.2,19,1.9,0.103,0.622,0.006666666666667709
7,8,2026-09-15 08:33:14.110000+00:00,0xD2,00 01 00 D2 C2 32 00 14 2D 56,49714,11606,62.24,20,2.0,0.133,0.6224000000000001,0.004242424242427489
8,9,2026-09-15 08:33:14.124000+00:00,0xD2,00 01 00 D2 C2 FF 00 11 2D 56,49919,11606,62.24,17,1.7,0.147,0.6224000000000001,-7.105427357601002e-15
9,10,2026-09-15 08:33:14.155000+00:00,0xD2,00 01 00 D2 C3 CC 00 12 2D 56,50124,11606,62.24,18,1.8,0.178,0.6224000000000001,0.12156862745095509
10,11,2026-09-15 08:33:14.158000+00:00,0xD2,00 01 00 D2 C4 99 00 11 2D 57,50329,11607,62.28,17,1.7,0.181,0.6228,0.12444444444444591
11,12,2026-09-15 08:33:14.200000+00:00,0xD2,00 01 00 D2 C5 66 00 11 2D 57,50534,11607,62.28,17,1.7,0.223,0.6228,0.12444444444443548
12,13,2026-09-15 08:33:14.203000+00:00,0xD2,00 01 00 D2 C6 33 00 12 2D 58,50739,11608,62.32,18,1.8,0.226,0.6232,0.11333333333333862
13,14,2026-09-15 08:33:14.215000+00:00,0xD2,00 01 00 D2 C7 00 00 12 2D 59,50944,11609,62.36,18,1.8,0.238,0.6236,0.023809523809527278
14,15,2026-09-15 08:33:14.245000+00:00,0xD2,00 01 00 D2 C7 CE 00 12 2D 59,51150,11609,62.36,18,1.8,0.268,0.6236,0.017777777777777004
15,16,2026-09-15 08:33:14.260000+00:00,0xD2,00 01 00 D2 C8 9B 00 12 2D 5A,51355,11610,62.4,18,1.8,0.283,0.624,0.01777777777777434
16,17,2026-09-15 08:33:14.290000+00:00,0xD2,00 01 00 D2 C9 6A 00 10 2D 5A,51562,11610,62.4,16,1.6,0.313,0.624,0.019480519480513436
17,18,2026-09-15 08:33:14.304000+00:00,0xD2,00 01 00 D2 CA 37 00 12 2D 5B,51767,11611,62.44,18,1.8,0.327,0.6244,0.015238095238085947
18,19,2026-09-15 08:33:14.320000+00:00,0xD2,00 01 00 D2 CB 04 00 11 2D 5B,51972,11611,62.44,17,1.7,0.343,0.6244,8.881784197001252e-16
19,20,2026-09-15 08:33:14.350000+00:00,0xD2,00 01 00 D2 CB D1 00 12 2D 5B,52177,11611,62.44,18,1.8,0.373,0.6244,3.552713678800501e-15
20,21,2026-09-15 08:33:14.365000+00:00,0xD2,00 01 00 D2 CC 9E 00 11 2D 5B,52382,11611,62.44,17,1.7,0.388,0.6244,0.0
21,22,2026-09-15 08:33:14.380000+00:00,0xD2,00 01 00 D2 CD 6B 00 13 2D 5B,52587,11611,62.44,19,1.9,0.403,0.6244,0.0
22,23,2026-09-15 08:33:14.411000+00:00,0xD2,00 01 00 D2 CE 39 00 14 2D 5B,52793,11611,62.44,20,2.0,0.434,0.6244,0.0
23,24,2026-09-15 08:33:14.426000+00:00,0xD2,00 01 00 D2 CF 06 00 11 2D 5B,52998,11611,62.44,17,1.7,0.449,0.6244,-8.881784197001252e-16
24,25,2026-09-15 08:33:14.455000+00:00,0xD2,00 01 00 D2 CF D3 00 11 2D 5B,53203,11611,62.44,17,1.7,0.478,0.6244,0.0
25,26,2026-09-15 08:33:14.469000+00:00,0xD2,00 01 00 D2 D0 A3 00 13 2D 5B,53411,11611,62.44,19,1.9,0.492,0.6244,-3.552713678800501e-15
26,27,2026-09-15 08:33:14.485000+00:00,0xD2,00 01 00 D2 D1 70 00 13 2D 5B,53616,11611,62.44,19,1.9,0.508,0.6244,0.0
27,28,2026-09-15 08:33:14.515000+00:00,0xD2,00 01 00 D2 D2 3D 00 11 2D 5B,53821,11611,62.44,17,1.7,0.538,0.6244,-3.552713678800501e-15
28,29,2026-09-15 08:33:14.529000+00:00,0xD2,00 01 00 D2 D3 0A 00 10 2D 5B,54026,11611,62.44,16,1.6,0.552,0.6244,3.552713678800501e-15
29,30,2026-09-15 08:33:14.545000+00:00,0xD2,00 01 00 D2 D3 D7 00 13 2D 5B,54231,11611,62.44,19,1.9,0.568,0.6244,3.552713678800501e-15
30,31,2026-09-15 08:33:14.575000+00:00,0xD2,00 01 00 D2 D4 A4 00 12 2D 5B,54436,11611,62.44,18,1.8,0.598,0.6244,0.017777777777780557
31,32,2026-09-15 08:33:14.590000+00:00,0xD2,00 01 00 D2 D5 71 00 10 2D 5C,54641,11612,62.48,16,1.6,0.613,0.6248,0.01777777777777967
32,33,2026-09-15 08:33:14.620000+00:00,0xD2,00 01 00 D2 D6 3E 00 10 2D 5C,54846,11612,62.48,16,1.6,0.643,0.6248,0.015018773466831448
33,34,2026-09-15 08:33:14.637000+00:00,0xD2,00 01 00 D2 D7 0B 00 11 2D 5D,55051,11613,62.52,17,1.7,0.66,0.6252,0.026294388723229645
34,35,2026-09-15 08:33:14.651000+00:00,0xD2,00 01 00 D2 D7 D8 00 11 2D 5E,55256,11614,62.56,17,1.7,0.674,0.6256,0.028250658723796285
35,36,2026-09-15 08:33:14.680000+00:00,0xD2,00 01 00 D2 D8 A5 00 12 2D 60,55461,11616,62.64,18,1.8,0.703,0.6264,0.008981555733758029
36,37,2026-09-15 08:33:14.694000+00:00,0xD2,00 01 00 D2 D9 72 00 10 2D 60,55666,11616,62.64,16,1.6,0.717,0.6264,0.011666666666663161
37,38,2026-09-15 08:33:14.710000+00:00,0xD2,00 01 00 D2 DA 3F 00 11 2D 61,55871,11617,62.68,17,1.7,0.733,0.6268,0.02088194921071196
